A girl disintegrated a box beside the cats that was painted .	What is the theme of painted ?	a box beside the cats	cogs_qa	( ( ( A ) ( girl ) ) ( ( disintegrated ) ( ( ( ( a ) ( box ) ) ( ( beside ) ( ( the ) ( cats ) ) ) ) ( ( that ) ( was ) ( painted ) ) ) ) )
The boy painted the chalks beside the frog that was hunted .	What is the theme of hunted ?	the frog	cogs_qa	( ( ( The ) ( boy ) ) ( ( painted ) ( ( ( the ) ( chalks ) ) ( ( beside ) ( ( ( the ) ( frog ) ) ( ( that ) ( was ) ( hunted ) ) ) ) ) ) )
Elizabeth inflated a radio beside mandarins that was nursed .	What is the theme of nursed ?	a radio beside mandarins	cogs_qa	( ( ( Elizabeth ) ) ( ( inflated ) ( ( ( ( a ) ( radio ) ) ( ( beside ) ( ( mandarins ) ) ) ) ( ( that ) ( was ) ( nursed ) ) ) ) )
Carter improved a rose beside flowers that were eaten .	What is the theme of eaten ?	flowers	cogs_qa	( ( ( Carter ) ) ( ( improved ) ( ( ( a ) ( rose ) ) ( ( beside ) ( ( ( flowers ) ) ( ( that ) ( were ) ( eaten ) ) ) ) ) ) )
Olivia froze the cakes beside the balloon that was eaten .	What is the theme of eaten ?	the balloon	cogs_qa	( ( ( Olivia ) ) ( ( froze ) ( ( ( the ) ( cakes ) ) ( ( beside ) ( ( ( the ) ( balloon ) ) ( ( that ) ( was ) ( eaten ) ) ) ) ) ) )
Liam rolled the tourist beside cakes that was drawn .	What is the theme of drawn ?	the tourist beside cakes	cogs_qa	( ( ( Liam ) ) ( ( rolled ) ( ( ( ( the ) ( tourist ) ) ( ( beside ) ( ( cakes ) ) ) ) ( ( that ) ( was ) ( drawn ) ) ) ) )
Isabella studied the baby beside cakes that were eaten .	What is the theme of eaten ?	cakes	cogs_qa	( ( ( Isabella ) ) ( ( studied ) ( ( ( the ) ( baby ) ) ( ( beside ) ( ( ( cakes ) ) ( ( that ) ( were ) ( eaten ) ) ) ) ) ) )
Elizabeth drew the cake beside cats that were dusted .	What is the theme of dusted ?	cats	cogs_qa	( ( ( Elizabeth ) ) ( ( drew ) ( ( ( the ) ( cake ) ) ( ( beside ) ( ( ( cats ) ) ( ( that ) ( were ) ( dusted ) ) ) ) ) ) )
A cat rolled a cake beside the girls that were drawn .	What is the theme of drawn ?	the girls	cogs_qa	( ( ( A ) ( cat ) ) ( ( rolled ) ( ( ( a ) ( cake ) ) ( ( beside ) ( ( ( the ) ( girls ) ) ( ( that ) ( were ) ( drawn ) ) ) ) ) ) )
Jack rolled a dog beside donuts that was seen .	What is the theme of seen ?	a dog beside donuts	cogs_qa	( ( ( Jack ) ) ( ( rolled ) ( ( ( ( a ) ( dog ) ) ( ( beside ) ( ( donuts ) ) ) ) ( ( that ) ( was ) ( seen ) ) ) ) )
Evelyn froze the cookie beside girls that were examined .	What is the theme of examined ?	girls	cogs_qa	( ( ( Evelyn ) ) ( ( froze ) ( ( ( the ) ( cookie ) ) ( ( beside ) ( ( ( girls ) ) ( ( that ) ( were ) ( examined ) ) ) ) ) ) )
Liam saw the teacher beside the balls that were drawn .	What is the theme of drawn ?	the balls	cogs_qa	( ( ( Liam ) ) ( ( saw ) ( ( ( the ) ( teacher ) ) ( ( beside ) ( ( ( the ) ( balls ) ) ( ( that ) ( were ) ( drawn ) ) ) ) ) ) )
A girl rolled a cake beside donuts that were eaten .	What is the theme of eaten ?	donuts	cogs_qa	( ( ( A ) ( girl ) ) ( ( rolled ) ( ( ( a ) ( cake ) ) ( ( beside ) ( ( ( donuts ) ) ( ( that ) ( were ) ( eaten ) ) ) ) ) ) )
A girl poked the melon beside the cats that were eaten .	What is the theme of eaten ?	the cats	cogs_qa	( ( ( A ) ( girl ) ) ( ( poked ) ( ( ( the ) ( melon ) ) ( ( beside ) ( ( ( the ) ( cats ) ) ( ( that ) ( were ) ( eaten ) ) ) ) ) ) )
The donkey liked a sandwich beside cats that were painted .	What is the theme of painted ?	cats	cogs_qa	( ( ( The ) ( donkey ) ) ( ( liked ) ( ( ( a ) ( sandwich ) ) ( ( beside ) ( ( ( cats ) ) ( ( that ) ( were ) ( painted ) ) ) ) ) ) )
Ava rolled the cat beside donuts that was eaten .	What is the theme of eaten ?	the cat beside donuts	cogs_qa	( ( ( Ava ) ) ( ( rolled ) ( ( ( ( the ) ( cat ) ) ( ( beside ) ( ( donuts ) ) ) ) ( ( that ) ( was ) ( eaten ) ) ) ) )
Noah rolled the lawyer beside the boys that was painted .	What is the theme of painted ?	the lawyer beside the boys	cogs_qa	( ( ( Noah ) ) ( ( rolled ) ( ( ( ( the ) ( lawyer ) ) ( ( beside ) ( ( the ) ( boys ) ) ) ) ( ( that ) ( was ) ( painted ) ) ) ) )
